应用大类,应用场景,供应商名称,系统名称,系统简介,提供医院
医疗服务管理-医疗服务,智能患者院后管理,融威众邦/科大讯飞,智能慢病管理/全程患者管理平台V2.0,建立集成物联网设备数据的院后管理平台，对出院患者进行持续性健康监测与管理，对接智能穿戴设备、远程体征监测,北京市第二医院
医疗服务管理-医疗服务,智能满意度调查,融威众邦/科大讯飞,智能满意度调研/全程患者管理平台V2.0,在诊疗各环节关键触点自动触发满意度调研，采用自然语言处理技术分析开放式文本评价，调研覆盖率>80%,北京市第二医院
医疗服务管理-医疗服务,智能病历辅助生成,浙江宁唐健康大数据科技有限公司,听译机器人/智能病历辅助生成,采集问诊语音，智能生成病历，根据检查结果和手术记录智能生成病历,北京市西城区展览路医院/北京市肛肠医院
医疗服务管理-医药服务,处方前置审核智能辅助,科大讯飞/四川美康,区域审方系统,实时解析患者病历、检验报告及处方数据，自动比对医学知识库与合理用药规则，实现药物相互作用、配伍禁忌等风险的秒级预警,北京市第二医院
医疗服务管理-医药服务,临床用药智能辅助,杭州逸曜/四川美康,智慧药学服务平台/集采药品管控系统,提供基于最新循证医学证据的用药决策支持，根据患者具体病情、检查结果推荐个体化的药物选择、剂量、疗程,北京市第二医院
医疗服务管理-医药服务,患者用药指导智能辅助,四川美康,智慧药学服务平台,自动生成个性化、易理解的用药指导单，涵盖药品用法、注意事项、潜在副作用、储存方法、依从性提醒,北京市第二医院
医疗服务管理-医保服务,医保智能审核,中软国际,医保风控一体机,构建院内医保基金防控全覆盖的三层智慧体系，从事前提醒、事中稽查到事后监管，实现全流程闭环管理,北京市第二医院
医疗服务管理-医保服务,医保智能核算,智诚明康/东华,DRGs管理软件,按照北京医保BJ-GBI质量核定系数的指标要求，自动抓取医保患者数据，形成院内指标数据库，DRG入组指导,北京市第二医院
医疗服务管理-中医药管理服务,中医临床智能辅助诊疗,科大讯飞,基层人工智能辅助诊疗系统,结合中医诊疗方案、经典医案及权威知识库，根据患者症状、体征、舌脉象信息进行中医智能辨证分析，推荐对症药物,北京市西城区广外医院
医疗服务管理-中医药管理服务,中药智能审方,四川美康,合理用药监测系统,对中医处方进行自动化审核，检查配伍禁忌、毒性药物用量、用药剂量、妊娠禁忌,北京市西城区展览路医院
医疗服务管理-中医药管理服务,中医临床病案智能质控,科大讯飞,AI病历质控平台,针对中医病案书写特点进行智能化质量监控，检查辨证依据完整性、理法方药一致性、术语规范性,北京市西城区广外医院
医疗服务管理-医院管理,智能医疗文书质控辅助,,智能病历质控系统,对住院病历、病程记录、手术记录等实时质控，实时监测文书完整性、规范性，自动识别矛盾信息，生成科室/个人质控报告,北京市第二医院
医疗服务管理-医院管理,智能医疗质量管理,,智能医疗质量管理系统,根据十八项核心制度提取质控数据，生成统计表，多维数据分析实现医院病历质量的全面监控与优化,北京市第二医院
医疗服务管理-医院管理,智能手术室管理,,智能手术室管理系统,覆盖术前规划到术后结算的全流程：智能排程与资源调度、术中行为与环境监测、AI辅助核查,北京市第二医院
医疗服务管理-医院管理,智能药房管理,,智能药品管控柜/智能药品冷藏柜/智能移动工作站,对毒麻精一、冷藏、贵重等药品的集中智能化管理，实现科室内部麻醉药品闭环管理，空安瓿回收、剩余药品销毁全程监控,北京市第二医院
医疗服务管理-医院管理,智能耗材管理,诺博智能,RFID智能耗材柜,整合超高频RFID技术，自动感知耗材柜内库存，实现耗材领用自动记录，一物一码全程追溯,北京市第二医院
医疗服务管理-医院管理,智能医疗设备管理,,智能医疗设备管理系统,建立全院医疗设备物联网平台，实时定位、状态监控、预防性维护、效能分析与效益评估,北京市第二医院
医疗服务管理-医院管理,智能医院后勤安全管理,,智能后勤安全管理系统,综合能耗监测与优化、设施设备数字孪生管理、消防隐患秒级发现,北京市第二医院
医疗服务管理-医院管理,智能医院经济管理决策支持,用友医疗/金蝶医疗/卫宁健康,智能医院经济管理决策支持系统,构建医院运营管理数字大脑，整合人、财、物、技术等全要素数据，提供全面预算管理、成本精细核算、DRG/DIP盈亏分析,北京市西城区广外医院
医疗服务管理-医院管理,运营决策支持,,智能BI平台,运营效率智能分析及预警、收入/成本智能分析及预警、趋势异常预警、绩效考核与模拟、医院人才库智能分析,北京市西城区妇幼保健计划生育服务中心
基层公卫服务-健康管理服务,智能健康管理,,智能健康管理系统,基于多源健康数据的个性化健康风险评估、干预计划制定与执行跟踪,北京市第二医院
基层公卫服务-健康管理服务,智能慢性病管理,清易云康,智能综合评估及训练系统,老年患者心肺脑肾等慢性疾病康复及健康生活方式管理，康复评估、训练、监测设备统一管理,北京市西城区广外医院
基层公卫服务-健康管理服务,智能慢性病管理,,人工智能慢病筛查管理平台,慢性病患者健康档案集中管理、健康监测数据实时整合、智能随访、全流程管理闭环,北京市西城区展览路医院
基层公卫服务-公共卫生服务,智能公共卫生群体数据分析,北京市卫健委,北京妇幼保健信息系统,区级儿童、妇女、孕产健康数据分析，自动形成分析报告,北京市西城区妇幼保健计划生育服务中心
健康产业发展-医用机器人,手术机器人,,手术机器人,精确缩放医生手部动作转化为机械臂动作，3D视觉反馈，震动过滤，多自由度控制，极低延迟,北京市第二医院
健康产业发展-医用机器人,康复机器人,,RobotCT下肢外骨骼步行康复器,多模式自适应训练，根据肌电信号、步态数据、力量反馈进行自适应调整，促进神经通路重塑与运动功能重建,北京市第二医院
健康产业发展-医用机器人,康复机器人,,上肢/下肢康复机器人,通过传感器、机械臂或外骨骼装置，为患者提供力量支持或阻力调节，引导患者塑造正确行走步态,北京市西城区广外医院
健康产业发展-医用机器人,针灸推拿机器人,,针灸推拿机器人,基于AI视觉识别和人体模型自动寻找穴位，实现针灸提插捻转和推拿滚按揉摩，力位混合控制精度达0.5N以下,北京市第二医院
健康产业发展-医用机器人,医疗咨询机器人,,医疗咨询机器人,智能预问诊、导诊指引、报告解读，识别各地口音及非专业术语,北京市第二医院
健康产业发展-医用机器人,配送机器人,,配送机器人,多场景配送：药品、高值耗材/无菌包、检验标本、文书与小型物资,北京市第二医院
医学教学科研-医学教学,医学教学智能辅助,,医学教学智能辅助系统,个性化学习路径、智能问答与辅导、中西医护理技术知识解答,北京市第二医院
医学教学科研-医学教学,医学智能仿真实验,,医学智能仿真实验系统,VR/AR、力反馈及AI评分技术，沉浸式操作模拟，中医护理技术与西医高危操作训练,北京市第二医院
医学教学科研-医学教学,医学教育患者虚拟人,,医学教育患者虚拟人系统,高仿真交互虚拟病人，动态病情演变，中西医特征模拟，安全试错环境,北京市第二医院
医学教学科研-医学科研,智能医学科研数据分析,,智能医学科研数据分析系统,基于机器学习、深度学习构建数据分析模型，科研数据挖掘与知识发现,北京市第二医院
医学教学科研-医学科研,基于检验数据的人工智能科研平台,,基于检验数据的人工智能科研平台,检验数据智能分析，辅助临床研究,北京市西城区展览路医院
医学教学科研-医学治理,医疗AI伦理与合规审查助手,,医疗AI伦理与合规审查助手,根据项目书提供伦理审查建议,北京市第二医院
